box_id,address,creation_height,eligible_height,eligible_date_est,erg_value,rsn_amount,est_size_bytes,est_rent_erg,underfunded,token_count
ab89bebe85c9485ad8f269decc53fac40b7c6c0ba80edb8bd6dfe426c77f6dd6,9hFXuqRwkBiwCYsLRvAtDtK9Ec1B8kHkHd4bvrr9ZVmugE2Y1At,1137590,2188790,2027-11-27,0.001080013,788.999,122,0.152500,yes,1
bba5381c23b13a784da66dd0f51980d1df45714dbdb41ec5f4b0f7ea0c5e8c76,9fz1eterqwKFJbk9jZNGuGVNHigsh3t6puKeabBWPKqhCFdn4Jk,1138406,2189606,2027-11-28,0.001080089,10500.000,122,0.152500,yes,1
3203b3e669b996bb5c0f9167f3d03adad82ac172876fb1650232e643d7f72d7d,9hxH2VnowVrw86v7cxkcRTURf41zXzwopusZZELSWQnAqD9eTcj,1138851,2190051,2027-11-28,200.000000000,2219.867,160,0.200000,no,2
ff1ab2177a14f52aa3b8556fd9769859c4538143d3d7ed0309fb08adfdef9a1e,9iHEsnuSursvL2ychmmYrE3KbRUVaTjjUZT7dJ1gry5mTJETRsH,1141691,2192891,2027-12-02,0.001081210,1755.484,122,0.152500,yes,1
cee7568eb2a4ec1602be7c7e79639679cffc2ba21e1e4c9c3be842097c28384c,9hFXuqRwkBiwCYsLRvAtDtK9Ec1B8kHkHd4bvrr9ZVmugE2Y1At,1144539,2195739,2027-12-06,0.001080014,499.999,122,0.152500,yes,1
243fdba05823c6752f0e42c61b7c1084e49912793e67cded947e48a43e4186a9,9hFXuqRwkBiwCYsLRvAtDtK9Ec1B8kHkHd4bvrr9ZVmugE2Y1At,1148290,2199490,2027-12-11,0.001080015,250.000,122,0.152500,yes,1
2cf3576b5466a04ba6c496164a229f267b97d6b241ca48b700299bca939a55d4,9hFXuqRwkBiwCYsLRvAtDtK9Ec1B8kHkHd4bvrr9ZVmugE2Y1At,1148290,2199490,2027-12-11,9.699273933,499.669,198,0.247500,no,3
1942d5e978072d0c13990defa3198f26139ff63ea4649c1cdb33891ba97ad1c2,9h4ctWSPW2YtajGDPrCvEC2kLUn3H9cVcCk8jRe8Lu8xdHCA3gk,1148349,2199549,2027-12-11,0.001080050,4970.116,122,0.152500,yes,1
9183e23cad06751ac3475da4deb2629cc832439e3b2931153c9c6b965e62cd55,9iPRhadM1jKvxkk5uJDhw4odkrpnxo8RKXARrCH67AYZFxtKTHx,1148556,2199756,2027-12-12,0.001080028,2776.025,122,0.152500,yes,1
5b69ac420eab01ffd8cc10154c1b1e4b57d778819ea0c675f543cc494f00cef0,9fB78N2zyiG3bKzaKQgUBxmVeokhFunLHsZkAMBNXsesHjE7DWf,1148991,2200191,2027-12-12,0.001000000,930.000,122,0.152500,yes,1
1ba6a385a64aee49e370859c33d9a69c4a52859f81be66f76258a0f200bfd50e,9hh3RkHGhdMSHjZdWsY7EESLryRbRZ8rMzKwESap34DSLRa4wSP,1149214,2200414,2027-12-13,0.001080106,10313.938,122,0.152500,yes,1
885c7501ff374d4b5262f662bb69003d93a1634eabd0cbc07787d4654bc8988f,9hB2oyLLsXdZPqzjwFnUQcS7KzizdoCBg5YE3ZxMZxcDkasvy3A,1149492,2200692,2027-12-13,0.001074555,2531.213,122,0.152500,yes,1
9e3fb2e690e53e53f4dbe1d55f336d1a2631360d6d90a94c1efb2a590efb0d99,9gRSAVcHSRcEUnLjLAUGLXXDU2bwPwQWisvmHpipUL2RCdhazDj,1149580,2200780,2027-12-13,0.001080170,2504.063,122,0.152500,yes,1
e3e3135504fb6d65c561efff89a991c9c125ee1b08541b37a4b2baf777e048ae,9g1mnQP5NnwEFBKzfPJJR6VxeQ7KXGhumSiMVszT96cPKpYXt8J,1149638,2200838,2027-12-13,0.001080259,25063.613,122,0.152500,yes,1
d39cfa15ded016dc0a4e7e25efe45fc091bb59acbcc50631f141e42672039f78,9hQEvgFy5PpYrw8iujNjvmca9xfJVmN43T9vH8Pfv9b4PnDxvS2,1149650,2200850,2027-12-13,0.001080046,4303.302,122,0.152500,yes,1
b02c12f75e6c0e0f041e4b6b08a4060fa237832a640dc0c0385e476b6d8c995c,9hQEvgFy5PpYrw8iujNjvmca9xfJVmN43T9vH8Pfv9b4PnDxvS2,1149651,2200851,2027-12-13,0.001080980,19600.489,122,0.152500,yes,1
d1f53823e365a2aa96e6b1508310afc50459c922939bcae4a173319680f58de4,9hFXuqRwkBiwCYsLRvAtDtK9Ec1B8kHkHd4bvrr9ZVmugE2Y1At,1149744,2200944,2027-12-13,53.138750816,498.879,122,0.152500,no,1
af109c8fece5547e8fc7b87bd60200902ea3f43330da114b5a000aa02dfe86bc,9hFXuqRwkBiwCYsLRvAtDtK9Ec1B8kHkHd4bvrr9ZVmugE2Y1At,1149745,2200945,2027-12-13,0.001080015,250.000,122,0.152500,yes,1
1500b415574afb0313c6bdb09d865647704dd6d6a1c5bd2ec661d9803f20bb47,9hFXuqRwkBiwCYsLRvAtDtK9Ec1B8kHkHd4bvrr9ZVmugE2Y1At,1149800,2201000,2027-12-14,0.001080008,200.000,122,0.152500,yes,1
e5a3aec0c8b1144535dfa16cd9e3b8c18c7cfaa106e21276817b70ba7910dab7,9hFXuqRwkBiwCYsLRvAtDtK9Ec1B8kHkHd4bvrr9ZVmugE2Y1At,1149800,2201000,2027-12-14,19.718951617,504.993,122,0.152500,no,1
e84f93c855bbad1c9c66e2c4d758b9ccf6f9e2f513ffc65b83fef70c167bf72c,9fMfR5RXNLA8GKcd3s3pTGaGdq7ApHRwGaXvpUX1fj8azgQQa6Q,1149811,2201011,2027-12-14,0.001080015,1207.699,122,0.152500,yes,1
dfb2232eb804b8af1920a7e175c0a5e36bbfa27a5364fcdb9c9dd71fd040a68f,9hts1HPWPCqt1acJJ9dLVgfYrdPVbKEYJy4kLrpJaipdefjYpb5,1150051,2201251,2027-12-14,0.001080030,2862.518,122,0.152500,yes,1
